postcode,geometry,pc4,stedelijkheid,third_places_total_ranked,third_places_non_medical_total_ranked,third_places_medical_ranked,third_places_food_beverage_ranked,third_places_retail_ranked,third_places_community_ranked,third_places_cultural_ranked,third_places_sport_leisure_ranked,third_places_non_medical_non_retail_total_ranked,third_places_total_ranked_by_urbanisation,third_places_non_medical_total_ranked_by_urbanisation,third_places_medical_ranked_by_urbanisation,third_places_food_beverage_ranked_by_urbanisation,third_places_retail_ranked_by_urbanisation,third_places_community_ranked_by_urbanisation,third_places_cultural_ranked_by_urbanisation,third_places_sport_leisure_ranked_by_urbanisation,third_places_non_medical_non_retail_total_ranked_by_urbanisation
4511,"POLYGON ((30085 379010, 29849 379049, 29549 379187, 29102 379716, 29114 379862, 28844 380069, 28780 379986, 28276 380045, 28285 380389, 28404 380631, 27757 380600, 27345 380743, 27225 380674, 26982 380806, 27013 381172, 25055 381481, 24072 381409, 23799 381306, 23707 381147, 23113 380805, 23208 380592, 23601 380791, 23986 380834, 24013 380556, 24191 380260, 24625 379994, 24895 379911, 24926 379639, 25363 379644, 25442 379708, 25742 379554, 26450 378915, 26448 378812, 27016 378737, 26950 378169, 26791 377647, 27078 377213, 27506 377271, 28242 377117, 28692 377244, 29067 377520, 29279 377876, 29210 378345, 29763 378631, 29963 378769, 30085 379010))",4511,4,65.14964135542914,76.05390035851156,48.67311507936508,94.289802289282,75.78154425612053,57.00994960589223,53.81619937694704,57.88091068301225,76.55223695625233,51.21268656716418,67.44402985074626,24.743230625583568,99.04761904761904,64.55223880597015,33.58490566037736,37.156398104265406,37.47663551401869,68.19029850746269
4513,"POLYGON ((37055 376362, 36879 376562, 36885 376749, 36645 377165, 35589 377356, 35155 377578, 34913 377478, 33410 377758, 31683 378315, 31578 378535, 31134 378687, 31081 378847, 30085 379010, 29963 378769, 29763 378631, 30156 378386, 30253 378026, 30515 377608, 30905 377610, 31096 377379, 31324 377196, 32159 376030, 32287 375928, 32788 376002, 32870 376127, 33269 375919, 33410 376033, 33778 376062, 34328 375823, 34951 375772, 35205 375603, 35532 375704, 36080 375708, 36073 375469, 36255 375390, 36277 375188, 36820 374417, 37145 374554, 37208 374997, 37043 375077, 37032 375869, 36998 376222, 37055 376362))",4513,5,19.292604501607716,22.165904314501176,15.252976190476192,34.65140478668054,24.607658505963588,15.221604858508853,0.0,20.740555416562422,20.16358904449126,37.35092616087287,42.40426071519148,30.0,61.750766657373845,47.43589743589743,29.029582526956045,0.0,39.51194184839045,38.53211009174312
4515,"POLYGON ((32788 376002, 32287 375928, 32159 376030, 31324 377196, 31096 377379, 30714 377131, 30389 376683, 30224 376653, 30005 376956, 29707 376773, 29961 376372, 29818 376250, 29788 375917, 30094 375389, 30422 375148, 30234 374923, 30083 374971, 28778 374289, 28601 373965, 28356 373896, 28212 373945, 27728 373966, 27604 373546, 27547 372468, 27758 372383, 28305 372571, 28680 372880, 29145 371561, 29221 371426, 29233 370929, 29491 370765, 29744 370415, 29573 370093, 29670 370038, 29739 369891, 31246 369134, 31386 369106, 31650 368898, 31827 368544, 32141 368600, 33181 367990, 33436 368210, 34392 368195, 35674 367372, 35748 367089, 36075 367143, 36587 367078, 36851 366570, 37171 367319, 37139 367562, 37375 367747, 36975 368182, 36812 368061, 36606 368328, 36496 368851, 36301 368769, 35915 369207, 35382 369352, 35362 369582, 35608 370241, 35285 370314, 34738 370573, 34785 370763, 33725 371107, 33445 371474, 33152 371549, 32935 371881, 33051 371979, 32426 372417, 31810 373346, 31856 373575, 31786 374229, 32139 374642, 32482 374884, 32962 375016, 32788 376002))",4515,5,49.82686124165224,50.945728767461986,49.73958333333333,54.539542143600414,50.98556183301945,57.00994960589223,33.57995846313603,52.7395546659995,50.88610732432768,87.31286475513829,86.65990362668019,87.88265306122449,85.28017842207973,86.52537938252223,84.43461432126071,61.53203342618384,88.05815160955348,86.0091743119266
4521,"POLYGON ((37055 376362, 36998 376222, 37032 375869, 37043 375077, 37208 374997, 37145 374554, 36820 374417, 36277 375188, 34643 374972, 34614 374840, 34290 374681, 33988 374738, 33793 374872, 33938 374054, 33556 373963, 34171 372807, 34496 372996, 34615 372052, 34907 372050, 35038 371518, 35221 371510, 36447 371638, 36713 371460, 37620 371237, 38151 371005, 38603 370872, 39081 371368, 39311 371675, 39419 372041, 39907 372429, 39818 372600, 40150 372874, 40269 373531, 40232 373659, 39922 373694, 39729 373883, 39792 374103, 39683 374312, 39362 374522, 39010 374530, 38990 374749, 38601 375143, 38473 375163, 37852 375750, 37268 376148, 37055 376362))",4521,5,38.164729161513726,40.36345654592657,36.24751984126984,34.65140478668054,41.90834902699309,49.5154412714821,33.57995846313603,39.16687515636728,39.422481100508115,71.25095153514337,73.5226984529546,68.23979591836735,61.750766657373845,76.08581894296181,77.57810340060823,61.53203342618384,71.00207684319834,71.0499490316004
4522,"POLYGON ((36277 375188, 36255 375390, 36073 375469, 36080 375708, 35532 375704, 35205 375603, 34951 375772, 34328 375823, 33778 376062, 33410 376033, 33269 375919, 32870 376127, 32788 376002, 32962 375016, 32482 374884, 32139 374642, 31786 374229, 31856 373575, 31810 373346, 32426 372417, 33051 371979, 32935 371881, 33152 371549, 33445 371474, 33725 371107, 34785 370763, 34738 370573, 35285 370314, 35608 370241, 35362 369582, 35382 369352, 35915 369207, 36301 368769, 36496 368851, 36606 368328, 36812 368061, 36975 368182, 37375 367747, 37554 367765, 37774 367995, 37672 368743, 37752 369216, 37637 369380, 37644 369588, 37843 369852, 37832 370016, 37614 370319, 38079 370787, 38151 371005, 37620 371237, 36713 371460, 36447 371638, 35221 371510, 35038 371518, 34907 372050, 34615 372052, 34496 372996, 34171 372807, 33556 373963, 33938 374054, 33793 374872, 33988 374738, 34290 374681, 34614 374840, 34643 374972, 36277 375188))",4522,5,7.012119713084343,7.763629620472247,6.79563492063492,0.0,6.541117388575016,0.0,10.033748701973002,12.759569677257945,7.95637625480233,13.981223039837603,15.369008369261984,13.520408163265309,0.0,13.134484563055992,0.0,19.55431754874652,24.922118380062305,15.72375127420999
4524,"POLYGON ((17238 371152, 16983 371258, 16707 371452, 16451 371856, 16332 372492, 16114 372759, 15730 373131, 15501 373583, 13565 371491, 14814 370062, 14452 369809, 14146 369765, 14050 369618, 14093 369324, 14325 368905, 14917 368508, 15042 368332, 15008 368038, 15088 367736, 14945 367594, 14680 367509, 14663 367242, 14838 367009, 15110 366896, 15398 366866, 15935 365909, 16090 365759, 16528 365564, 16807 364944, 17098 364933, 17415 365260, 17552 365048, 17579 365287, 17952 365524, 18408 366324, 18295 366500, 18242 366933, 18931 367474, 18860 367715, 18644 367902, 18436 367949, 18503 368174, 18475 368425, 18075 369020, 17934 369435, 17854 369954, 17694 370284, 17865 370550, 17609 371002, 17248 371018, 17238 371152))",4524,5,76.45312886470442,89.54135245394981,43.080357142857146,95.8636836628512,95.40489642184558,37.49838480423827,33.57995846313603,47.79834876157118,75.337712231999,99.44176604922608,100.0,79.18367346938776,100.0,100.0,63.56096212330661,61.53203342618384,82.91796469366562,98.52191641182468
4525,"POLYGON ((14684 377984, 14582 377700, 14514 377245, 14742 376991, 14684 376694, 14858 376342, 14754 375827, 14762 375190, 15397 374359, 15501 373583, 15730 373131, 16114 372759, 16332 372492, 16451 371856, 16707 371452, 16983 371258, 17238 371152, 18022 371361, 17924 371632, 18811 372151, 18952 372387, 18878 372565, 18834 372594, 18213 372358, 17654 372433, 17033 372628, 17042 373000, 17139 373368, 17289 373582, 17243 373976, 17300 374164, 17528 374553, 17470 374597, 17724 375017, 17556 375365, 17453 375308, 16904 375215, 16419 375330, 16244 375425, 15985 375790, 15986 376338, 15947 376590, 16009 376762, 15949 377270, 15239 377629, 15296 377922, 14764 377702, 14684 377984))",4525,5,12.379421221864952,13.85832612189393,10.453869047619047,38.943808532778355,16.208411801632142,0.0,10.033748701973002,3.2524393294971228,12.653364729210558,24.359299670134487,27.00989094598022,20.637755102040817,67.82826874825759,31.580324437467297,0.0,19.55431754874652,6.4901349948078915,24.694189602446485
4527,"POLYGON ((18022 371361, 17238 371152, 17248 371018, 17609 371002, 17865 370550, 17694 370284, 17854 369954, 17934 369435, 18075 369020, 18475 368425, 18503 368174, 18436 367949, 18644 367902, 18860 367715, 18931 367474, 18242 366933, 18295 366500, 18408 366324, 18615 366439, 18853 366152, 18813 365953, 19041 365961, 19187 365830, 19149 365172, 19209 364782, 19909 364842, 20006 365421, 20548 365315, 21319 365079, 21595 365039, 21623 365075, 21779 365252, 21379 365696, 21178 365768, 21409 366411, 20918 366383, 20830 366891, 20922 366958, 21222 366912, 21307 367234, 21314 367856, 21452 368197, 21312 368329, 21357 369010, 21925 368907, 22423 369309, 22572 369245, 22451 369326, 21930 369480, 21702 369642, 21813 369788, 21536 369993, 20903 370218, 19629 370482, 18459 371304, 18022 371361))",4527,5,48.73856047489488,55.4209420200272,38.132440476190474,60.91311134235172,56.05775266792216,63.98759529654994,64.69366562824507,46.334751063297475,54.95104721774693,85.89190560771378,90.51483641897032,71.12244897959184,90.24254251463618,91.0779696493982,89.54935029029582,95.4874651810585,81.12668743509866,89.55147808358818
4528,"POLYGON ((27289 368388, 27083 368585, 26739 369030, 26626 369085, 25272 369348, 25419 369822, 24958 369928, 24693 369843, 24404 369876, 24086 370472, 23961 370597, 23735 370653, 23298 370564, 23308 370321, 23024 369943, 22784 369983, 22754 369777, 22572 369245, 22423 369309, 21925 368907, 21357 369010, 21312 368329, 21452 368197, 21314 367856, 21307 367234, 21222 366912, 20922 366958, 20830 366891, 20918 366383, 21409 366411, 21178 365768, 21379 365696, 21779 365252, 21623 365075, 21947 364844, 22219 364749, 22452 364589, 22816 364579, 23127 364503, 23282 364338, 23743 364225, 23933 364227, 24663 363876, 24921 363678, 25195 363553, 24567 367369, 24432 368103, 25393 368256, 25694 367663, 25997 367674, 26310 368150, 26397 368503, 26842 368482, 27101 368306, 27289 368388))",4528,5,11.006678209250556,11.59599456051428,10.453869047619047,17.156607700312172,12.052730696798491,0.0,27.12876427829699,6.817613209907431,11.054653612591398,21.74574980969297,22.7998985544002,20.637755102040817,32.36688040144968,23.83568812140241,0.0,50.64066852367688,13.57736240913811,21.66156982670744
4529,"MULTIPOLYGON (((20738 363680, 20703 363610, 20710 363546, 20809 363331, 20521 363195, 22160 363278, 25165 363509, 25195 363553, 24921 363678, 24663 363876, 23933 364227, 23743 364225, 23282 364338, 23127 364503, 22816 364579, 22452 364589, 22219 364749, 21947 364844, 21623 365075, 21595 365039, 21638 364941, 21420 364803, 21339 364624, 21342 364386, 21114 364463, 21108 364441, 21093 364264, 21110 364210, 20924 363828, 20960 363664, 20738 363680)), ((21331 365068, 21159 364858, 20654 363795, 20464 363192, 20809 363331, 20710 363546, 20703 363610, 20738 363680, 20669 363685, 20711 363756, 20773 363751, 20738 363680, 20924 363828, 21110 364210, 21093 364264, 21108 364441, 21114 364463, 21150 364453, 21342 364386, 21339 364624, 21420 364803, 21638 364941, 21331 365068)), ((21319 365079, 20548 365315, 20006 365421, 19909 364842, 19209 364782, 19149 365172, 19187 365830, 19041 365961, 18813 365953, 18853 366152, 18615 366439, 18408 366324, 17952 365524, 17579 365287, 17552 365048, 17987 364636, 18172 363538, 18512 363635, 19354 363288, 19522 363163, 20464 363192, 20654 363795, 21159 364858, 21319 365079)))",4529,5,28.951273806579277,34.83743355173693,13.901289682539684,49.115504682622266,41.15505335844319,0.0,19.132917964693664,29.034275706780083,29.19816581980419,55.290535397107334,64.79837687040325,27.39795918367347,79.9832729300251,75.11773940345368,0.0,36.57381615598886,54.17964693665627,54.20489296636085
